dataset,model,accuracy,precision,recall,f1,roc_auc
transactions,rf,0.9933333333333333,0.993103448275862,0.9795918367346939,0.9863013698630136,0.999909897733928
transactions,logreg,0.9916666666666667,0.9671052631578947,1.0,0.9832775919732442,0.999909897733928
transactions,gb,0.995,0.98,1.0,0.98989898989899,0.999909897733928
transactions,svm,0.9916666666666667,0.9671052631578947,1.0,0.9832775919732442,0.9995945398026761
transactions,knn,0.9783333333333334,0.9652777777777778,0.9455782312925171,0.9553264604810997,0.9982129717229055
products,logreg,1.0,1.0,1.0,1.0,1.0
products,gb,1.0,1.0,1.0,1.0,1.0
products,svm,1.0,1.0,1.0,1.0,1.0
products,knn,1.0,1.0,1.0,1.0,1.0
products,rf,1.0,1.0,1.0,1.0,1.0
